No,Kode,Nama Barang,Spesifikasi,Satuan
30,1.1.7.01.03.09.007.00101,kacamata las,standar SNI,BUAH
31,1.1.7.01.03.09.007.00102,Kacamata Pelindung,"bahan mika, warna bening, gagang hitam, bahan gagang plastik",BUAH
32,1.1.7.01.03.09.007.00122,Senter,-,BUAH
33,1.1.7.01.03.09.007.00132,WEARPACK,"BAHAN TIDAK PANAS DAN TEBAL, WARNA ORANGE MODEL PISAH, BAHAN LOGO JAYA RAYA,NAMA KELURAHAN,UKURAN STANDAR (S,M,L,XL,XXL) STRIP SCOTHLITE WARNA SILVER,PAKAI SAKU DI CELANA DAN BAJU",PCS
34,1.1.7.01.03.09.007.00151,Jas Hujan,-,BUAH
35,1.1.7.01.03.09.007.00155,Jas Hujan,Tahan Air Disposable,STEL
36,1.1.7.01.03.09.007.00157,Jas Hujan,"Bahan Taslan, Anti Tembus, Ada Penutup Kepala, Jahitan Full Seam Seal, Dan Double Seal Hotpress,",BUAH
37,1.1.7.01.03.09.007.00161,Payung,"(Bahan Parasut, Warna Kombinasi/ Polos, Diameter 1M Tidak Tembus Air, Gagang, Besi)",BUAH
38,1.1.7.01.03.09.007.00164,Safety Body Harnes,-,BUAH
39,1.1.7.01.03.09.007.00168,Wearpack,Bahan Kain,BUAH
40,1.1.7.01.03.09.007.00196,PAKAIAN KERJA LAPANGAN,"BAJU SERAGAM KERJA, KEMEJA BERKERAH, BAHAN DRILL TAIPAN, DESIGN DAN WARNA CUSTOM, BORDIR CUSTOM",BUAH
41,1.1.7.01.03.09.007.00206,Rompi,"Bahan Parasut Warna Biru Strip Hijau, Scot Light Kantong 4 Atas Bawah, Kiri, Kanan Bertali",BUAH
42,1.1.7.01.03.09.010.00050,Masker,-,BUAH
43,1.1.7.01.03.09.010.00056,Masker,Standart,BOX
44,1.1.7.01.03.09.010.05004,Isi Ulang Kotak P3K,"Obat Luka, Plester, kapas, perban/kasa, gunting,obat mual, rivanol, sarung tangan karet, obat memar, obat sakit kepala, minyak kayuputih, minyak angin",SET
45,1.1.7.01.03.09.010.05005,Bidai PMI,-,SET
46,1.1.7.01.03.08.001.00015,Kabel Fiber Optik,-,M
47,1.1.7.01.03.08.001.00054,Klem Kabel,-,BUAH
48,1.1.7.01.03.08.001.00070,Kabel Ties,"Lokal Standar Sni, 20",PACK
49,1.1.7.01.03.08.001.00072,Kabel Ties,"Lokal Standar Sni, 40",PACK
50,1.1.7.01.03.08.001.00079,Kabel CCTV,-,UNIT
51,1.1.7.01.03.08.001.00147,Kabel Jumper,-,SET
52,1.1.7.01.03.08.001.00148,Kabel Las,Ukuran 70 Mm,M
53,1.1.7.01.03.08.001.00230,Kabel Ties,"Lokal Standar Sni, 10",PACK
54,1.1.7.01.03.08.001.00233,Kabel duct PVC,Spesifikasi : 50x100 mm,M
55,1.1.7.01.03.08.001.00237,Kabel Roll Listrik,"Panjang 50 meter, proteksi panas 250v,50hz, 16A",ROLL
56,1.1.7.01.03.08.001.00243,Kabel Twisted 3 x 70 + 50 mm2,-,M
57,1.1.7.01.03.08.001.00310,Kabel Nym,3X2.5 50 M,ROLL
58,1.1.7.01.03.08.001.00322,Kabel Nyy,2X1.5 Mm2;,M
59,1.1.7.01.03.08.002.00212,Lampu Senter Rechargeable,-,BUAH
60,1.1.7.01.03.08.002.00215,Lampu Sorot,-,BUAH
61,1.1.7.01.03.08.002.00319,Lampu Bulb Led,7 Watt,BUAH
62,1.1.7.01.03.08.002.00384,Lampu Tld,36 Watt,BUAH
63,1.1.7.01.03.08.003.00012,Stop Kontak,4 Lubang; Lokal Standar Sni,BUAH
64,1.1.7.01.03.08.003.00023,Stop Kontak Ac,-,UNIT
65,1.1.7.01.03.08.004.00020,Saklar Ganda,-,BUAH
66,1.1.7.01.03.08.005.00003,Stacker,Besar,UNIT
67,1.1.7.01.03.08.005.00004,Stacker,Lokal Standar Sni Listrik,BUAH
68,1.1.7.01.03.08.009.00012,Accu,N 100 AH-12 Volt,BUAH
69,1.1.7.01.03.08.009.00013,Accu,N 70 AH-12 Volt,BUAH
70,1.1.7.01.03.08.009.00016,Accu,N 120 AH-12 Volt,BUAH
71,1.1.7.01.03.08.009.00028,Aki Sepeda Motor,aki kering 6 Ah 12V; Motor Supra X,BUAH
72,1.1.7.01.03.08.009.00077,Accu,Standart Minibus,BUAH
73,1.1.7.01.03.08.010.00002,Battery Charger,3 Phase Bl 10/ 24V,UNIT
74,1.1.7.01.03.08.010.00007,Baterai,A3/ 1.5 Vol,BUAH
75,1.1.7.01.03.08.010.00013,Baterai,"1.5 Volt, LR44",BUAH
76,1.1.7.01.03.08.010.00021,Baterai Kotak,Lokal Standar Sni 9 Volt,BUAH
77,1.1.7.01.03.08.010.00026,Battery,TOPCON BDC 46C,BUAH
78,1.1.7.01.03.08.012.00001,Mobile mounting,32A 3 kaki male + female,UNIT
79,1.1.7.01.03.08.012.00143,MCB 16 A,1 Phase ex. schneider,BUAH
80,1.1.7.01.03.01.001.00007,Ballpoint,G2,LUSIN
81,1.1.7.01.03.01.001.00009,Ballpoint,Bptp,LUSIN
82,1.1.7.01.03.01.001.00011,Ballpoint,"Ukuran : 1.0, 1 Pack Isi 12",PACK
83,1.1.7.01.03.01.001.00015,Pensil,2B,LUSIN
84,1.1.7.01.03.01.001.00022,Spidol,70,PCS
85,1.1.7.01.03.01.001.00023,Spidol,500,PCS
86,1.1.7.01.03.01.001.00028,Spidol Whiteboard,Bg 12,PCS
87,1.1.7.01.03.01.001.00029,Spidol Whiteboard,G 12,PCS
88,1.1.7.01.03.01.001.00030,Stabilo,"Super Plus (Model 70/6, Ujung Besar)",LUSIN
89,1.1.7.01.03.01.001.00032,BALLINER,TYPE: MEDIUM,DUS
90,1.1.7.01.03.01.001.00050,Rautan Pensil,-,BUAH
91,1.1.7.01.03.01.001.00073,Ballpoint,Biru,BUAH
92,1.1.7.01.03.01.001.00078,Box File,-,BUAH
93,1.1.7.01.03.01.001.00081,Box File Plastik,-,BUAH
94,1.1.7.01.03.01.001.00092,Perforator Kenko no.85,-,BUAH
95,1.1.7.01.03.01.001.00094,Rautan,Sedang,PCS
96,1.1.7.01.03.01.001.00096,Rautan Pensil Besar,Type Elektrik,BUAH
97,1.1.7.01.03.01.001.05014,Mechanical Pensil,0.7 mm,PCS
98,1.1.7.01.03.01.002.00015,Bak Stempel,Nomor 1,BUAH
99,1.1.7.01.03.01.002.00016,Numerator,Machine stempel nomor serial automatic 6 digits,UNIT
100,1.1.7.01.03.01.003.00008,Binder Clip,Nomor 107,KOTAK
101,1.1.7.01.03.01.003.00009,Binder Clip,Nomor 107,PACK
102,1.1.7.01.03.01.003.00010,Binder Clip,Nomor 111,PACK
103,1.1.7.01.03.01.003.00011,Binder Clip,Nomor 111,KOTAK
104,1.1.7.01.03.01.003.00014,Binder Clip,Nomor 200,PACK
105,1.1.7.01.03.01.003.00015,Binder Clip,Nomor 200,KOTAK
106,1.1.7.01.03.01.003.00016,Binder Clip,Nomor 260,KOTAK
107,1.1.7.01.03.01.003.00017,Paper Clip,Type No. 5,KOTAK
108,1.1.7.01.03.01.003.00018,Paper Clip,Type No. 3,KOTAK
109,1.1.7.01.03.01.003.00019,Paper Clip,Type No. 1,KOTAK
110,1.1.7.01.03.01.004.00003,Penghapus Karet,Karet Besar,PCS
111,1.1.7.01.03.01.004.00013,Tipe X Cair,-,BUAH
112,1.1.7.01.03.01.005.00003,Buku Expedisi,"Ukuran : 20X16 Cm, Isi : 100 Lbr",BUKU
113,1.1.7.01.03.01.005.00005,Buku Folio,100 Lbr,PCS
114,1.1.7.01.03.01.005.00006,Buku Folio,200 Lbr,PCS
115,1.1.7.01.03.01.005.00022,BUKU MASUK,-,BUKU
116,1.1.7.01.03.01.005.00023,BUKU KELUAR,-,BUKU
117,1.1.7.01.03.01.005.00025,Buku Ekspedisi,100 Lembar setara Bintang Obor,BUAH
118,1.1.7.01.03.01.005.00048,Buku Perintah Pengeluaran Barang,"Bahan Ncr Putih, 3 Ply, Uk. Folio, Per Buku 50 Set",BUKU
119,1.1.7.01.03.01.005.00049,Buku Register,Security Printing,BUKU
120,1.1.7.01.03.01.006.00004,Map Bening,L 9002 (F4) Putih,LUSIN
121,1.1.7.01.03.01.006.00007,Map Biru Biola,Uk Folio,PCS
122,1.1.7.01.03.01.006.00015,Map Gantung,Hanging Map No. 69,DUS
123,1.1.7.01.03.01.006.00017,Map Kancing,1212,LUSIN
124,1.1.7.01.03.01.006.00020,Map Ordner,401,BUAH
125,1.1.7.01.03.01.006.00023,Map,F4,PCS
126,1.1.7.01.03.01.006.00027,Map Snelhecter,(1 Dus : 50 Pc),DUS
127,1.1.7.01.03.01.006.00028,Map Snelhecter,Bahan Plastik,LUSIN
128,1.1.7.01.03.01.006.00032,Ordner Plastik,1465 (Folio 7 Cm),PCS
129,1.1.7.01.03.01.006.00036,Map Arsip,Buffalo Skin,BUAH
130,1.1.7.01.03.01.006.00040,Map Snelhecter,Gambar Logo Dki,LEMBAR
131,1.1.7.01.03.01.006.00042,Map Surat Dinas Berkantung,"(Ukuran 25 x 35 cm, BC 180 gram)",BUKU
132,1.1.7.01.03.01.006.00095,Map Berkas Pegawai PTT,-,BUAH
133,1.1.7.01.03.01.006.00096,MAP DINAS BERLOGO,FOLIO UK. 25X35 CM,BUAH
134,1.1.7.01.03.01.006.00113,Box Arsip,Berlogo Pemda Dki,BUAH
135,1.1.7.01.03.01.007.00002,Penggaris Besi,100 Cm,BUAH
136,1.1.7.01.03.01.007.00007,Penggaris Kurva,"1 penggaris 30 cm, 1 mal lengkung masing-masing ukuran kecil, sedang, besar",SET
137,1.1.7.01.03.01.007.00016,Meteran,50 meter,BUAH
138,1.1.7.01.03.01.008.00006,Cutter,L.550,BUAH
139,1.1.7.01.03.01.008.00010,Isi Cutter,L-500 Cutter Blade L-150,PACK
140,1.1.7.01.03.01.009.00005,Pita Mesin Tik Elektrik,Gx 8250,BUAH
141,1.1.7.01.03.01.010.00002,Lem Pipa uPVC,400 Gr,BUAH
142,1.1.7.01.03.01.010.00014,LAKBAN,UK. 2 INCI,LUSIN
143,1.1.7.01.03.01.010.00015,Lakban,"2""X100 Yard, Warna Hitam Linen",ROLL
144,1.1.7.01.03.01.010.00016,Lakban,"2""X100 Yard, Plastik",ROLL
145,1.1.7.01.03.01.010.00017,Lakban,Opp Bening,ROLL
146,1.1.7.01.03.01.010.00018,Lakban,2In,ROLL
147,1.1.7.01.03.01.010.00021,Double Tape,"Ukuran 1""",PCS
148,1.1.7.01.03.01.010.00027,Isolasi,Bening 1/2 Inch x 72,ROLL
149,1.1.7.01.03.01.010.00048,Lem Putih,Glue Stick (Stik Kecil),BUAH
150,1.1.7.01.03.01.010.00049,Lem Putih,-,BUAH
151,1.1.7.01.03.01.010.00057,Lem Stick,Stick 25 Gram,PCS
152,1.1.7.01.03.01.010.00069,Lakban,Uk. 1.5 Inch,PCS
153,1.1.7.01.03.01.010.00079,Seal Tape,"P.T.F.E Thread SealTape ISO 9002 Certified 10 Meters Size: 12mm x 0,075mm x 10m , merk onda",BUAH
154,1.1.7.01.03.01.010.00120,LABEL TAPE,Label Tape TZE,UNIT
155,1.1.7.01.03.01.010.00135,Lem Pipa,Lokal Standar Sni; 400 Gr Isarplas,KALENG
156,1.1.7.01.03.01.010.00141,Lem Kaca,-,BOTOL
157,1.1.7.01.03.01.012.00003,Hechmacine,Ukuran: Hd 10 Max,BUAH
158,1.1.7.01.03.01.012.00004,Hechmacine,Ukuran: Hd 50 Max,BUAH
159,1.1.7.01.03.01.012.00006,Staples,No. 50,PCS
160,1.1.7.01.03.01.012.00007,Staples,No. 10 D,PCS
161,1.1.7.01.03.01.013.00001,Isi Staples,1213 Fa-H,DUS
162,1.1.7.01.03.01.013.00002,Isi Staples,No. 10,PACK
163,1.1.7.01.03.01.013.00004,Isi Staples,No. 3,PCS
164,1.1.7.01.03.01.013.00005,Isi Staples,No. 10,PCS
165,1.1.7.01.03.01.014.00018,Bend 22/ 23,(Kartu Barang/ Persediaan Barang),LEMBAR
166,1.1.7.01.03.01.014.00050,Buku Kas,"Buku Kas Umum Bend. 1 Uk. 21X33 Cm, Isi 100 Lembar/ Buku,",BUKU
167,1.1.7.01.03.01.014.00090,Surat Perintah Jalan (Spj) Kendaraan,"Bhn Ncr, Uk. 21X16 Cm, Isi : 1 Buku 50 Set 1 Set 5 Lembar, Cetak 1 Muka/ 1Warna",PACK
168,1.1.7.01.03.01.014.00188,Cetak Kartu,"Kendali; Bahan Ncr, Ukuran Folio (21.5 Cmx33 Cm), Jumlah 4 (Empat) Rangkap",BLOK
169,1.1.7.01.03.01.014.00207,Lembar Disposisi,"2 Ply, Uk. Standar",BUKU
170,1.1.7.01.03.01.014.00217,LEMBAR PENGANTAR,-,BUKU
171,1.1.7.01.03.01.014.00221,Lembar Pengantar/ Kolektif/ Petunjuk Silang/ Lembar Kendali,"Bahan Kertas Ncr 3 Ply Uk.10,5 Cmx16.5 Cm, Cetak 1 Muka , 1 Warna, Isi 1 Blok 100 Lbr",BLOK
172,1.1.7.01.03.01.014.00225,Memo Dinas,"Memo/ Nota Dinas 1/ 2 Folio, Hvs 70 Gram1 Buku, 100 Lembar",BUKU
173,1.1.7.01.03.01.014.00320,Cetak Kartu,Kartu Perawatan Barang,LEMBAR
174,1.1.7.01.03.01.014.00679,Kwitansi Dinas,"32X11 Cm, Hvs 60 Gram, 1 Muka, 2 Warna",BLOK
175,1.1.7.01.03.01.014.00740,Floor sign,"Bahan : Plastik, warna Kuning",BUAH
176,1.1.7.01.03.01.015.00013,Tanda Pengenal,Name Tag/ Tanda Pengenal Peserta Diklat,PESERTA
177,1.1.7.01.03.13.001.00038,Benang Nylon,"Benang Nylon, Gulungan",BUAH
178,1.1.7.01.03.06.001.00009,Continous Form,2 Ply 14 7/8 x 11,BOX
179,1.1.7.01.03.06.001.00018,Continuous Form,"uk 9 1/2 x 5 1/5 inc 4 ply (putih,biru,pink,kuning)",BOX
180,1.1.7.01.03.06.004.00053,Tinta Epson L 800,6733,BUAH
181,1.1.7.01.03.06.004.00054,Tinta Epson L 800,6734,BUAH
182,1.1.7.01.03.06.004.00055,Tinta Epson L 800,6735,BUAH
183,1.1.7.01.03.06.004.00056,Tinta Epson L 800,6736,BUAH
184,1.1.7.01.03.06.004.00078,Tinta Printer,-,SET
185,1.1.7.01.03.06.004.00080,Tinta Printer,T6641,BOTOL
186,1.1.7.01.03.06.004.00105,Tinta Printer,Standar Hitam,BUAH
187,1.1.7.01.03.06.004.00106,Tinta Printer,Standar Colour,BUAH
188,1.1.7.01.03.06.004.00130,Refill Tinta Printer,[T6731],UNIT
189,1.1.7.01.03.06.004.00170,Toner/ Catridge Printer,[Tn-2025],UNIT
190,1.1.7.01.03.06.004.00209,Tinta Printer,Tinta Epson 664 Original,BUAH
191,1.1.7.01.03.06.004.00211,Tinta Printer,T6642 Cyan,BUAH
192,1.1.7.01.03.06.004.00212,Tinta Printer,T6643 Magenta,BUAH
193,1.1.7.01.03.06.004.00213,Tinta Printer,T6644 Yellow,BUAH
194,1.1.7.01.03.06.004.00238,Toner Cartridge,78A Black,BUAH
195,1.1.7.01.03.06.004.00273,Tinta Printer,L800 No. 6731 (Black),BOTOL
196,1.1.7.01.03.06.004.00274,Tinta Printer,L800 No. 6732 (Cyan),BOTOL
197,1.1.7.01.03.06.004.00275,Tinta Printer,L800 No. 6733 (Magenta),BOTOL
198,1.1.7.01.03.06.004.00276,Tinta Printer,L800 No. 6734 (Yellow),BOTOL
199,1.1.7.01.03.06.004.00277,Tinta Printer,L800 No. 6735 (Light Cyan),BOTOL
200,1.1.7.01.03.06.004.00278,Tinta Printer,L800 No. 6736 (Light Magenta),BOTOL
201,1.1.7.01.03.06.004.00279,Tinta Printer,Tinta Printer L200 No. T6641 (Black),BUAH
202,1.1.7.01.03.06.004.00280,Tinta Printer,Tinta Printer L200 No. T6642 (Cyan),BUAH
203,1.1.7.01.03.06.004.00281,Tinta Printer,Tinta Printer L200 No. T6643 (Magenta),BUAH
204,1.1.7.01.03.06.004.00282,Tinta Printer,Tinta Printer L200 No. T6644 (Yellow),BUAH
205,1.1.7.01.03.06.004.00334,Tinta Stempel,Uk: 50 Cc,BOTOL
206,1.1.7.01.03.06.004.00338,Tinta Printer,Epson 003 Black,BUAH
207,1.1.7.01.03.06.004.00449,Tinta Epson L 800,6731,BUAH
208,1.1.7.01.03.06.004.00450,Tinta Epson L 800,6732,BUAH
209,1.1.7.01.03.06.004.00474,HP 727 Cyan,Tinta Plotter 130 Ml,BUAH
210,1.1.7.01.03.06.004.00475,HP 727 Magenta,Tinta Plotter 130 Ml,BUAH
211,1.1.7.01.03.06.004.00476,HP 727 Yellow,Tinta Plotter 130 Ml,BUAH
212,1.1.7.01.03.06.004.00477,HP 727 Photoblack,Tinta Plotter 130 Ml,BUAH
213,1.1.7.01.03.06.004.00478,HP 727 Gray,Tinta Plotter 130 Ml,BUAH
214,1.1.7.01.03.06.004.00479,HP 727 Matteblack,Tinta Plotter 300 Ml,BUAH
215,1.1.7.01.03.06.004.00564,HP 49A Black (Q5949A),-,BUAH
216,1.1.7.01.03.06.004.00569,Brother Toner Cartridge TN 261 Cyan [TN-261C],Toner Color Printer Brother TN-261,UNIT
217,1.1.7.01.03.06.004.00572,Brother Toner Cartridge TN 261 Yellow [TN-261Y],Toner Color Printer Brother TN-261,UNIT
218,1.1.7.01.03.06.004.00573,Brother Toner Cartridge TN 261 Black [TN-261BK],Toner Black Printer Brother TN-261,UNIT
219,1.1.7.01.03.06.004.00574,Brother Toner Cartridge TN 261 Magenta [TN-261M],Toner Color Printer Brother TN-261,UNIT
220,1.1.7.01.03.06.004.00579,Tinta/Toner Printer,Compatible 17A Black (CF217A),UNIT
221,1.1.7.01.03.06.004.00587,Tinta Printer Brother MFC,Tinta Brother LC 583 Magenta,UNIT
222,1.1.7.01.03.06.004.00589,Tinta Printer Brother MFC,Tinta Brother LC 583 Cyan,UNIT
223,1.1.7.01.03.06.004.00590,Tinta Printer Brother MFC,Tinta Brother LC 583 Black,UNIT
224,1.1.7.01.03.06.004.00593,Tinta Printer Brother MFC,Tinta Brother LC 583 Yellow,UNIT
225,1.1.7.01.03.06.004.00635,EPSON Ink Bottle 003 Black,Hitam,BUAH
226,1.1.7.01.03.06.004.00636,EPSON Ink Bottle 003 Magenta,Magenta,BUAH
227,1.1.7.01.03.06.004.00637,EPSON Ink Bottle 003 Yellow,Kuning,BUAH
228,1.1.7.01.03.06.004.00638,EPSON Ink Bottle 003 Cyan,Cyan,BUAH
229,1.1.7.01.03.06.006.00002,Flashdisk,16 GB,BUAH
230,1.1.7.01.03.06.009.00013,Hard Disk,NAS WD Red Plus 8TB,UNIT
231,1.1.7.01.03.06.010.00002,Mouse Optical Wireless,-,PCS
232,1.1.7.01.03.06.011.00003,CDR,SPINDLE 50,TABUNG
233,1.1.7.01.03.06.011.00013,Cd Blank,-,BUAH
234,1.1.7.01.03.06.011.00014,Casing Plastik,Dvd/ Vcd,DUS
235,1.1.7.01.03.06.012.00002,Modular Jack,Cat 6,PCS
236,1.1.7.01.03.06.013.00001,Keyboard,-,BUAH
237,1.1.7.01.03.06.014.00035,Connector RJ45,"Cat 6 Modular Plug, 100 pcs",BOX
238,1.1.7.01.03.06.015.00001,Mouse dan Keyboard,Logitech Keyboard Wireless Model/Type K400,SET
239,1.1.7.01.03.04.001.00001,Materai,Materai 6000,BUAH
240,1.1.7.01.03.04.001.00005,Materai,10000,BUAH
241,1.1.7.01.03.02.001.00012,Kertas A3,80 Gr,RIM
242,1.1.7.01.03.02.001.00013,Kertas F4,70 Gram,RIM
243,1.1.7.01.03.02.001.00014,Kertas F4,80 Gram,RIM
244,1.1.7.01.03.02.001.00016,Kertas A4,80 Gram,RIM
245,1.1.7.01.03.02.001.00021,Kertas A4,70 Gram,RIM
246,1.1.7.01.03.02.001.00022,Kertas A0,"Ukuran 150X90 Cm, 80 Gr Hvs Roll",ROLL
247,1.1.7.01.03.02.002.00008,Kertas Kalkir,A0 50meter,BUAH
248,1.1.7.01.03.02.002.00010,Post It,Mark and Note,SET
249,1.1.7.01.03.02.002.00012,Post It,Sign Here,PAD
250,1.1.7.01.03.02.002.00020,Kertas Post It,Type 653,BUAH
251,1.1.7.01.03.02.002.00021,Kertas Post It,Type 654,BUAH
252,1.1.7.01.03.02.002.00023,Kertas Post It,Type 657,BUAH
253,1.1.7.01.03.02.002.00040,Kertas Faximile,Uk.210 Mmx30 M,ROLL
254,1.1.7.01.03.02.002.00043,Kertas Faximile,Uk. 216 Mmx30 M,ROLL
255,1.1.7.01.03.02.002.00046,Kertas Karbon Hitam,Uk. Folio Isi 100 Lbr/ Dus,DUS
256,1.1.7.01.03.02.002.00048,Kertas Karbon Hitam,Folio Isi :100 Lbr/ Dus,PACK
257,1.1.7.01.03.02.002.00097,Blangko Pajak,"Bahan NCR Ukuran Folio, Cetak 2 muka 2 Warna lembar 1 ; 1 muka 2 Warna lembar berikutnya Nomorator, Logo DKI, Isi 1 Blok 25 Set, 1 set 6 Lembar",BUKU
258,1.1.7.01.03.02.003.00001,Kertas Concorde,"Uk. F4/A4, 90 gram, berlogo DKI 5 Warna",LEMBAR
259,1.1.7.01.03.02.003.00008,Kertas Buffalo,Gold Fish,PACK
260,1.1.7.01.03.02.004.00010,Amplop Putih,No. 110,PACK
261,1.1.7.01.03.02.004.00011,Amplop Putih,No. 90,PACK
262,1.1.7.01.03.02.004.00014,AMPLOP DINAS,"BAHAN KERTAS SAMSON, ISI:100 LBR/ PAK, UK. : 11X24CM, OPLAH : 0001 S/ D 1000 PAK",PACK
263,1.1.7.01.03.02.004.00020,Amplop Cokelat,Isi 100 Pcs,PCS
264,1.1.7.01.03.02.004.00026,Amplop Cokelat,Folio/Kwarto Bergaris,PACK
265,1.1.7.01.03.07.001.00006,SEROKAN SAMPAH DAN GAGANG,"BAHAN STAINLESS STEEL, DIBERI WIREMESH GALVANIZED",UNIT
266,1.1.7.01.03.07.001.00010,KEMOCENG,BULU AYAM,BUAH
267,1.1.7.01.03.07.001.00013,PENGKI,BAHAN PLASTIK,BUAH
268,1.1.7.01.03.07.001.00025,Sapu Dorong,Lobby Duster,BUAH
269,1.1.7.01.03.07.001.00028,Sapu Ijuk,-,BUAH
270,1.1.7.01.03.07.001.00030,SAPU IJUK,BERGAGANG,BUAH
271,1.1.7.01.03.07.001.00037,SAPU LIDI,BERGAGANG,BUAH
272,1.1.7.01.03.07.001.00048,Sikat Ijuk,Sikat Ijuk,BUAH
273,1.1.7.01.03.07.001.00052,Sikat Kamar Mandi,Sikat Wc; Plastik,BUAH
274,1.1.7.01.03.07.001.00095,Ijuk,-,KG
275,1.1.7.01.03.07.002.00017,KANEBO,LOKAL SNI,BUAH
276,1.1.7.01.03.07.002.00037,ALAT PEL,BERGAGANG; BAHAN BAMBU,BUAH
277,1.1.7.01.03.07.002.00056,Lap Kain,Kain Majun,KG
278,1.1.7.01.03.07.002.00073,Pembersih Kaca,Wiper Kaca; Lokal Standar Sni,BUAH
279,1.1.7.01.03.07.002.00076,Pembersih Lantai,Serokan Air,BUAH
280,1.1.7.01.03.07.002.00081,Serbet,Bahan Kain,BUAH
281,1.1.7.01.03.07.003.00025,Bak Plastik,Cat,BUAH
282,1.1.7.01.03.07.003.00026,Bak Plastik,Besar Cuci Diameter 90 - 120 Cm,BUAH
283,1.1.7.01.03.07.003.00031,Ember Plastik,Uk. 3 Gl,BUAH
284,1.1.7.01.03.07.003.00032,Ember Plastik,Uk. 5 Liter,UNIT
285,1.1.7.01.03.07.003.00035,Ember Plastik,Pakai Tutup; Isi 10 Liter,BUAH
286,1.1.7.01.03.07.003.00041,GAYUNG,BAHAN PLASTIK,BUAH
287,1.1.7.01.03.07.003.00042,Jerigen,"2 Liter,",BUAH
288,1.1.7.01.03.07.003.00043,Jerigen,Uk. 20 Liter,BUAH
289,1.1.7.01.03.07.003.00045,SELANG AIR,"BENANG; DIAMETER 1/ 2""",M
290,1.1.7.01.03.07.003.00072,Klem Selang,Ukuran 5 Inch,UNIT
291,1.1.7.01.03.07.004.00007,Keset,Bahan Karet,BUAH
292,1.1.7.01.03.07.004.00012,Bak Sampah,"Bahan : Plastik, Type : Bj",BUAH
293,1.1.7.01.03.07.004.00016,Terpal Plastik,Sakura A12,M
294,1.1.7.01.03.07.004.00032,KESET,BAHAN KAIN,BUAH
295,1.1.7.01.03.07.004.00036,KESET,KARPET/ KESET KARET MIE; L120 CMXP1700 CM,BUAH
296,1.1.7.01.03.07.004.00043,Tong Sampah,Tertutup,BUAH
297,1.1.7.01.03.07.004.00052,Tong Sampah Beroda,HDPE 240 liter,BUAH
298,1.1.7.01.03.07.004.00066,Kantong Plastik sampah Degradable,"Kantong Plastik Sampah Bahan Degradable Ukuran +/- 60x95 cm, warna menyesuaikan dan disablon",ROLL
