kode,nama_barang,tanggal,satuan,merk,stok,lokasi
1.1.7.01.01.01.002.00013,Mortar Acian & Plester,2025-10-10,ZAK,40 kg,"  5,00 ",Gudang Abal 
1.1.7.01.01.01.002.00016,Mortar Perekat bata ringan,2025-10-10,zak,40 kg,"  10,00 ",Gudang Abal 
1.1.7.01.01.04.002.00046,Oli mesin diesel,2025-10-10,botol,,"  4,00 ",Gudang Abal 
1.1.7.01.01.01.004.00016,Pasir Pasang,2025-10-10,m3,,"  4,46 ",Gudang Abal 
1.1.7.01.01.01.004.00015,Pasir Urug,2025-10-10,m3,,"  4,82 ",Gudang Abal 
1.1.7.02.02.03.004.00032,Pipa Galvanis,2025-10-10,Batang,uk. 1 panjang 6 m,"  2,00 ",Gudang Abal 
1.1.7.01.01.01.002.00007,Semen,2025-10-10,zak,50 kg,"  6,00 ",Gudang Abal 
1.1.7.01.01.01.021.00030,Thinner,2025-10-10,KALENG,,"  47,00 ",Gudang Abal 
1.1.7.02.02.03.004.00045,Tutup Dop,2025-10-10,Buah,pvc uk 2 AW,"  22,00 ",Gudang Abal 
1.1.7.02.02.03.004.00047,Tutup Dop,2025-10-10,Buah,pvc uk 4 AW,"  44,00 ",Gudang Abal 
1.1.7.02.02.06.001.00091,Tutup Dop,2025-10-10,Buah,pvc uk 6 AW,"  66,00 ",Gudang Abal 
1.1.7.01.02.01.001.01632,Van Belt,2025-10-10,Buah,Blower type A52,"  20,00 ",Gudang Abal 
1.1.7.01.01.01.006.00175,CAT MINYAK,2025-10-10,KALENG,ISI 5 LITER Cat besi & kayu Glossy merk zinctium,"  13,00 ",Gudang Abal 
1.1.7.01.01.01.027.00034,Paku,2025-10-10,KG,Beton 5-12 cm,"  11,00 ",Gudang Abal 
1.1.7.01.01.01.027.00019,Paku,2025-10-10,KG,Tripleks,"  11,00 ",Gudang Abal 
1.1.7.01.01.05.001.00020,Kawat,2025-10-10,KG,,"  6,00 ",Gudang Abal 
1.1.7.01.01.05.002.00011,Kayu Kaso Meranti,2025-10-10,BATANG,Kaso uk 5/7,"  13,00 ",Gudang Abal 
1.1.7.01.03.01.010.00002,Lem Pipa uPVC,2025-10-10,BUAH,400 Gr,"  19,00 ",Gudang Abal 
1.1.7.01.03.08.002.00358,Lampu Led,2025-10-10,BUAH,18 W,"  11,00 ",Gudang Abal 
1.1.7.02.02.06.001.00125,Pipa Pvc Dia. 4,2025-10-10,BATANG,Type Aw,"  25,00 ",Gudang Abal 
1.1.7.02.02.06.001.00004,Pipa Pvc Dia. 1/ 2,2025-10-10,BATANG,Type Aw,"  10,00 ",Gudang Abal 
1.1.7.02.02.06.001.00006,Pipa Pvc Dia. 1,2025-10-10,BATANG,Type Aw,"  40,00 ",Gudang Abal 
1.1.7.02.02.06.001.00124,Pipa Pvc Dia. 3,2025-10-10,BATANG,Type Aw,"  14,00 ",Gudang Abal 
1.1.7.02.02.06.001.00122,Pipa Pvc Dia. 2,2025-10-10,BATANG,Type Aw,"  8,00 ",Gudang Abal 
1.1.7.01.01.01.020.00006,Karung,2025-10-10,BUAH,"Barang plastik anyaman ukuran 45x75 cm, 25 kg",  3.500 ,Gudang Abal 
1.1.7.01.01.01.019.00002,Kawat Las,2025-10-10,Kg,"2,6 mm",  160 ,Gudang Abal 
