kode,nama_barang,tanggal,satuan,merk,stok,lokasi
1.1.7.01.01.01.008.00013,Reng Galvalum,2023-04-11,BATANG,Re 30X45 Mm - 6M,129.0,Gudang Ketel Uap
1.1.7.01.01.01.012.00077,Besi Beton,2024-10-28,BATANG,"Dia 12 Mm, 12M",976.0,Gudang Ketel Uap
1.1.7.01.01.01.012.00078,Besi Beton,2025-03-24,BATANG,"Dia 10 Mm, 12M",803.0,Gudang Ketel Uap
1.1.7.01.01.01.012.00079,Besi Beton,2022-11-29,BATANG,"Dia 8 Mm, 12M",3670.0,Gudang Ketel Uap
1.1.7.01.01.01.012.00079,Besi Beton,2023-08-08,BATANG,"Dia 8 Mm, 12M",600.0,Gudang Ketel Uap
1.1.7.01.01.01.012.00079,Besi Beton,2023-09-20,BATANG,"Dia 8 Mm, 12M",600.0,Gudang Ketel Uap
1.1.7.01.01.01.012.00079,Besi Beton,2024-07-02,BATANG,"Dia 8 Mm, 12M",106.0,Gudang Ketel Uap
1.1.7.01.01.01.014.00012,Metal Roof,2023-12-04,M2,"Spandek Hi Ten Zincalume Tebal 0,45 Mm",0.0,Gudang Ketel Uap
1.1.7.01.01.01.015.00011,U-Ditch,2022-11-29,UNIT,Panjang Efektif 1.20 M U 600/ 600,181.0,Gudang Ketel Uap
1.1.7.01.01.01.015.00011,U-Ditch,2023-09-13,UNIT,Panjang Efektif 1.20 M U 600/ 600,183.0,Gudang Ketel Uap
1.1.7.01.01.01.015.00012,U-Ditch,2022-11-29,UNIT,Panjang Efektif 1.20 M U 600/ 800,99.0,Gudang Ketel Uap
1.1.7.01.01.01.015.00013,U-Ditch,2022-11-29,UNIT,Panjang Efektif 1.20 M U 800/ 800,84.0,Gudang Ketel Uap
1.1.7.01.01.01.015.00022,Box Culvert,2023-09-20,UNIT,"Bc 600X600 High Duty Panjang 1,00 M",10.0,Gudang Ketel Uap
1.1.7.01.01.01.015.00026,Box Culvert,2024-05-15,UNIT,"Bc 800X800 Mm, Type Heavy Duty (Hd) Panjang 1,00 M",20.0,Gudang Ketel Uap
1.1.7.01.01.01.015.00027,Box Culvert,2024-05-15,UNIT,"Bc 1000X1000 Mm, Type Heavy Duty (Hd) Panjang 1,00 M",40.0,Gudang Ketel Uap
1.1.7.01.01.01.015.00028,Box Culvert,2020-01-02,UNIT,"Bc 1200X1200 Mm, Type Heavy Duty (Hd) Panjang 1,00 M",5.0,Gudang Ketel Uap
1.1.7.01.01.01.015.00028,Box Culvert,2024-11-25,UNIT,"Bc 1200X1200 Mm, Type Heavy Duty (Hd) Panjang 1,00 M",15.0,Gudang Ketel Uap
1.1.7.01.01.01.015.00029,Box Culvert,2023-09-20,UNIT,"Bc 1500X1500 Mm, Type Heavy Duty (Hd) Panjang 1,00 M",9.0,Gudang Ketel Uap
1.1.7.01.01.01.015.00040,Tutup U-Ditch,2024-07-01,UNIT,"Tutup U-Ditch 1200 Mm, Heavy Duty (Hd)",7.0,Gudang Ketel Uap
1.1.7.01.01.01.015.00097,Tutup U-Ditch,2025-03-13,UNIT,"Tutup U 400 High Duty Panjang Efektif 0,60 M",799.0,Gudang Ketel Uap
1.1.7.01.01.01.015.00102,Tutup U-Ditch,2025-03-13,UNIT,"Tutup U 600 High Duty Panjang Efektif 0,60 M",512.0,Gudang Ketel Uap
1.1.7.01.01.01.015.00103,Tutup U-Ditch,2025-03-13,UNIT,"Tutup U 800 High Duty Panjang Efektif 0,60 M",250.0,Gudang Ketel Uap
1.1.7.01.01.01.015.00104,Tutup U-Ditch,2024-07-01,UNIT,"Tutup U 1000 High Duty Panjang Efektif 0,60 M",58.0,Gudang Ketel Uap
1.1.7.01.01.01.016.00009,Plat Floordeck,2023-12-04,M2,T : 0.75Mm,275.0,Gudang Ketel Uap
1.1.7.01.01.01.019.00002,Kawat Bronjong,2020-01-02,UNIT,Uk. 100 x 50 x 200,1204.0,Gudang Ketel Uap
1.1.7.01.01.01.020.00005,KARUNG,2020-01-02,BUAH,UK. 50 KG,561.0,Gudang Ketel Uap
1.1.7.01.01.01.020.00007,Karung Plastik,2025-09-22,BUAH,,270323.0,Gudang Ketel Uap
1.1.7.01.01.01.023.00004,Amplas,2025-07-08,ROLL,Grade 60/80/100/120/150/180/240/320/400,20.0,Gudang Ketel Uap
1.1.7.01.01.01.027.00009,Paku Asbes,2023-04-11,KG,,6.0,Gudang Ketel Uap
1.1.7.01.01.01.027.00020,Paku,2025-08-15,KG,"Biasa 2"" - 5""",1148.0,Gudang Ketel Uap
1.1.7.01.01.05.001.00004,Kawat Las,2024-11-01,DUS,"RB-26 2,6mm, Berat 5 kg",0.0,Gudang Ketel Uap
1.1.7.01.01.05.001.00005,Kawat Las,2024-08-22,DUS,"RB-26 3,2mm, Berat 5 kg",0.0,Gudang Ketel Uap
1.1.7.01.01.05.001.00018,Perak Las,2024-10-29,BUAH,,120.0,Gudang Ketel Uap
1.1.7.01.01.05.001.00020,Kawat,2023-09-20,KG,Beton,1421.0,Gudang Ketel Uap
1.1.7.01.01.05.001.00020,Kawat,2024-07-02,KG,Beton,162.0,Gudang Ketel Uap
1.1.7.01.01.05.001.00033,Kawat Duri,2023-12-04,ROLL,"Silet Uk. 7 Meter, Bahan Anti Karat",0.0,Gudang Ketel Uap
1.1.7.01.01.05.002.00005,Kayu,2025-03-24,BATANG,Dolken Gelam,1054.0,Gudang Ketel Uap
1.1.7.01.01.05.002.00011,Kayu Kaso Meranti,2025-03-24,BATANG,Kaso uk 5/7,1989.0,Gudang Ketel Uap
1.1.7.01.01.05.002.00052,Kayu Lapis,2023-11-24,LEMBAR,Triplek Uk.122X244X4 Mm,60.0,Gudang Ketel Uap
1.1.7.01.01.05.002.00057,Kayu Lapis,2023-12-04,LEMBAR,"Multipleks Uk. (0,9 X 122 X 244)Cm",0.0,Gudang Ketel Uap
1.1.7.01.01.05.002.00057,Kayu Lapis,2024-03-18,LEMBAR,"Multipleks Uk. (0,9 X 122 X 244)Cm",2375.0,Gudang Ketel Uap
1.1.7.01.01.10.001.00008,Refill tabung oksigen,2024-08-22,TABUNG,"gas O2, 6m3, tinggi 143cm, diameter 22cm",0.0,Gudang Ketel Uap
1.1.7.01.02.01.001.01516,Air Radiator,2024-07-25,BUAH,08889,0.0,Gudang Ketel Uap
1.1.7.01.02.01.001.04023,Relay,2024-10-29,PCS,,0.0,Gudang Ketel Uap
1.1.7.01.02.01.001.50010,Contactor,2024-08-22,BUAH,3 phase 25 Ampere,0.0,Gudang Ketel Uap
1.1.7.01.02.04.006.00010,Roskam,2024-11-01,BUAH,"bahan plat baja, ukuran 35 cm",0.0,Gudang Ketel Uap
1.1.7.01.02.04.006.00050,Rantai,2023-03-15,BUAH,,0.0,Gudang Ketel Uap
1.1.7.01.02.04.052.00002,Cutter Pipa,2024-08-22,BUAH,1 Set ( Besar & Kecil),0.0,Gudang Ketel Uap
1.1.7.01.02.07.008.00016,Deltalok,2020-01-02,SET,Deltalok Geo Modular Bag + Interlocking,1200.0,Gudang Ketel Uap
1.1.7.01.02.08.001.00033,Selang Hidrolik,2024-08-22,M,"Diameter dalam 1,5 inc",0.0,Gudang Ketel Uap
1.1.7.01.02.08.001.00035,Cutting Wheel,2024-05-16,UNIT,"Spesifikasi: GCO 200 14""",0.0,Gudang Ketel Uap
1.1.7.01.02.08.001.00040,Mata Gerinda Potong,2024-11-01,PCS,"105x1,2 mm",200.0,Gudang Ketel Uap
1.1.7.01.02.08.001.00048,Mata Gerinda,2024-05-16,PCS,Lokal,17.0,Gudang Ketel Uap
1.1.7.01.02.08.001.00049,Mata Gerinda,2020-01-02,BUAH,Uk. 4 Inchi,250.0,Gudang Ketel Uap
1.1.7.01.02.08.001.00049,Mata Gerinda,2022-08-10,BUAH,Uk. 4 Inchi,19.0,Gudang Ketel Uap
1.1.7.01.02.08.001.00049,Mata Gerinda,2024-08-22,BUAH,Uk. 4 Inchi,50.0,Gudang Ketel Uap
1.1.7.01.02.08.001.00065,Rantai Gergaji Mesin,2024-05-16,BUAH,Uk. 20 inc,0.0,Gudang Ketel Uap
1.1.7.01.02.08.001.00152,Batu Gerinda Potong,2024-11-01,BUAH,Mata cutting Uk. 14 Inc,100.0,Gudang Ketel Uap
1.1.7.01.02.08.002.00012,Kunci Inggris,2024-11-28,PCS,Ukuran : 12 Inch,0.0,Gudang Ketel Uap
1.1.7.01.02.08.002.00022,Pahat Beton,2024-05-16,BUAH,,4.0,Gudang Ketel Uap
1.1.7.01.02.08.002.00030,PALU BESI,2024-05-16,BUAH,MATERIAL STEEL 10 LB,200.0,Gudang Ketel Uap
1.1.7.01.02.08.002.00030,PALU BESI,2024-11-01,BUAH,MATERIAL STEEL 10 LB,27.0,Gudang Ketel Uap
1.1.7.01.02.08.002.00052,Obeng Set,2024-08-22,SET,"Isi 6 pcs, Standard",0.0,Gudang Ketel Uap
1.1.7.01.02.08.002.00062,Tang Gegep,2024-11-01,UNIT,9 inch,0.0,Gudang Ketel Uap
1.1.7.01.02.08.002.00069,Sendok Semen,2024-05-16,BUAH,"Ukuran 8"" Gagang Kayu",18.0,Gudang Ketel Uap
1.1.7.01.02.08.002.00096,Kunci Sock,2024-08-22,SET,8 Mm - 32 Mm,0.0,Gudang Ketel Uap
1.1.7.01.02.08.002.00101,Gergaji Kayu Manual,2024-05-16,BUAH,,2.0,Gudang Ketel Uap
1.1.7.01.02.08.002.00101,Gergaji Kayu Manual,2024-11-01,BUAH,,54.0,Gudang Ketel Uap
1.1.7.01.02.08.002.00102,Gergaji Besi,2022-08-10,BUAH,Kecil,2.0,Gudang Ketel Uap
1.1.7.01.02.08.002.00114,TREKER MAGNET,2024-08-22,PCS,LOKAL,0.0,Gudang Ketel Uap
1.1.7.01.02.08.002.50004,Mata Pahat Breaker,2024-05-16,BUAH,"Flat Chisel Breaker / jack Hammer, Uk. Panjang Min. 40 mm, Material Logam",0.0,Gudang Ketel Uap
1.1.7.01.03.01.001.00015,Pensil,2025-08-19,LUSIN,,20.0,Gudang Ketel Uap
1.1.7.01.03.01.001.00026,Spidol Permanen,2024-06-21,DUS,"Type N850, Isi 12 Buah",1.0,Gudang Ketel Uap
1.1.7.01.03.01.001.00029,Spidol Whiteboard,2025-08-19,PCS,G 12,13.0,Gudang Ketel Uap
1.1.7.01.03.01.001.00030,Stabilo,2024-06-21,PACK,"Super Plus (Model 70/6, Ujung Besar)",12.0,Gudang Ketel Uap
1.1.7.01.03.01.001.00032,BALLINER,2025-08-19,DUS,TYPE: MEDIUM,28.0,Gudang Ketel Uap
1.1.7.01.03.01.001.00076,Box File,2025-08-19,LUSIN,,41.0,Gudang Ketel Uap
1.1.7.01.03.01.001.00095,Rautan Pensil Putar,2023-10-04,PCS,,1.0,Gudang Ketel Uap
1.1.7.01.03.01.001.00097,Jangka,2023-10-04,BUAH,,11.0,Gudang Ketel Uap
1.1.7.01.03.01.002.00008,Tinta Spidol,2020-01-02,DUS,Ukuran 50cc,1.0,Gudang Ketel Uap
1.1.7.01.03.01.002.00018,Stempel Sudin,2022-06-15,BUAH,Standard,2.0,Gudang Ketel Uap
1.1.7.01.03.01.003.00004,Binder Clip,2024-06-21,PACK,Nomor 260,137.0,Gudang Ketel Uap
1.1.7.01.03.01.003.00007,Binder Clip,2025-08-19,PACK,Nomor 105,57.0,Gudang Ketel Uap
1.1.7.01.03.01.003.00009,Binder Clip,2025-08-19,PACK,Nomor 107,70.0,Gudang Ketel Uap
1.1.7.01.03.01.003.00010,Binder Clip,2025-08-19,PACK,Nomor 111,41.0,Gudang Ketel Uap
1.1.7.01.03.01.003.00013,Binder Clip,2024-06-21,PACK,Nomor 155,51.0,Gudang Ketel Uap
1.1.7.01.03.01.003.00014,Binder Clip,2024-06-21,PACK,Nomor 200,68.0,Gudang Ketel Uap
1.1.7.01.03.01.003.00017,Paper Clip,2025-08-19,KOTAK,Type No. 5,92.0,Gudang Ketel Uap
1.1.7.01.03.01.003.00018,Paper Clip,2025-08-19,KOTAK,Type No. 3,106.0,Gudang Ketel Uap
1.1.7.01.03.01.003.05004,Binder Clip,2025-08-19,PACK,Nomor 300,86.0,Gudang Ketel Uap
1.1.7.01.03.01.004.00004,Penghapus Karet,2020-01-02,PCS,Karet Kecil,0.0,Gudang Ketel Uap
1.1.7.01.03.01.004.00007,Penghapus Whiteboard,2020-01-02,PCS,Kecil,0.0,Gudang Ketel Uap
1.1.7.01.03.01.004.00022,Tipe X,2024-06-21,BUAH,Tipe X Kertas,11.0,Gudang Ketel Uap
1.1.7.01.03.01.005.00005,Buku Folio,2024-06-21,PCS,100 Lbr,0.0,Gudang Ketel Uap
1.1.7.01.03.01.005.00005,Buku Folio,2025-08-19,PCS,100 Lbr,11.0,Gudang Ketel Uap
1.1.7.01.03.01.005.00022,BUKU MASUK,2022-05-17,BUKU,,0.0,Gudang Ketel Uap
1.1.7.01.03.01.005.00023,BUKU KELUAR,2022-05-17,BUKU,,0.0,Gudang Ketel Uap
1.1.7.01.03.01.005.00025,Buku Ekspedisi,2025-08-19,BUAH,100 Lembar setara Bintang Obor,21.0,Gudang Ketel Uap
1.1.7.01.03.01.005.00050,Buku Tamu,2022-05-17,BUAH,Batik Polos,0.0,Gudang Ketel Uap
1.1.7.01.03.01.006.00009,Map Buffalo,2022-05-17,BOX,5002,5.0,Gudang Ketel Uap
1.1.7.01.03.01.006.00014,Map Folio,2022-05-17,LUSIN,,303.0,Gudang Ketel Uap
1.1.7.01.03.01.006.00019,Map Ordner,2024-06-21,LUSIN,Folio,15.0,Gudang Ketel Uap
1.1.7.01.03.01.006.00038,MAP DINAS,2024-06-07,BUAH,BUFFALLO 180 GR,3764.0,Gudang Ketel Uap
1.1.7.01.03.01.006.00057,MAP SNELHECTER,2024-06-07,BUAH,KERTAS,1968.0,Gudang Ketel Uap
1.1.7.01.03.01.006.50009,Kardus,2025-08-19,BUAH,Arsip ; Bahan Carogated 200 Gr Uk.37x27x17 Cm Oplah 1 S.D 1000,279.0,Gudang Ketel Uap
1.1.7.01.03.01.007.00016,Meteran,2024-11-01,BUAH,50 meter,0.0,Gudang Ketel Uap
1.1.7.01.03.01.007.05004,Water Pass,2025-07-08,UNIT,Perkakas Kerja,10.0,Gudang Ketel Uap
1.1.7.01.03.01.008.00006,Cutter,2025-08-19,BUAH,L.550,10.0,Gudang Ketel Uap
1.1.7.01.03.01.008.00009,Isi Cutter,2022-06-15,PACK,L-150,1.0,Gudang Ketel Uap
1.1.7.01.03.01.008.50001,Gunting,2025-08-19,BUAH,"Ukuran sedang, bahan stainless",13.0,Gudang Ketel Uap
1.1.7.01.03.01.008.50003,Pembolong Kertas,2024-06-21,BUAH,No. 30,7.0,Gudang Ketel Uap
1.1.7.01.03.01.010.00014,LAKBAN,2024-06-21,LUSIN,UK. 2 INCI,5.0,Gudang Ketel Uap
1.1.7.01.03.01.010.00014,LAKBAN,2025-08-19,LUSIN,UK. 2 INCI,50.0,Gudang Ketel Uap
1.1.7.01.03.01.010.00021,Double Tape,2024-06-21,PCS,"Ukuran 1""",26.0,Gudang Ketel Uap
1.1.7.01.03.01.010.00046,LEM KERTAS,2024-06-21,PACK,GLUE STICK 15 GRAM (1 PACK ISI 20 PCS),4.0,Gudang Ketel Uap
1.1.7.01.03.01.010.00046,LEM KERTAS,2025-08-19,PACK,GLUE STICK 15 GRAM (1 PACK ISI 20 PCS),8.0,Gudang Ketel Uap
1.1.7.01.03.01.010.00135,Lem Pipa,2024-11-28,KALENG,"Lokal, Standar SNI, 400 Gr",19.0,Gudang Ketel Uap
1.1.7.01.03.01.012.00007,Staples,2025-08-19,PCS,No. 10 D,17.0,Gudang Ketel Uap
1.1.7.01.03.01.012.00010,Staples,2024-06-21,BUAH,No. 3,8.0,Gudang Ketel Uap
1.1.7.01.03.01.013.00001,Isi Staples,2020-01-02,DUS,1213 Fa-H,10.0,Gudang Ketel Uap
1.1.7.01.03.01.013.00002,Isi Staples,2025-08-19,PACK,No. 10,57.0,Gudang Ketel Uap
1.1.7.01.03.01.013.00003,Isi Staples,2024-06-21,PACK,No. 3,24.0,Gudang Ketel Uap
1.1.7.01.03.01.013.00012,Isi Staples,2022-06-15,PACK,1217 Fa-H,1.0,Gudang Ketel Uap
1.1.7.01.03.01.014.00089,Surat Perintah Jalan,2024-06-07,BUKU,"Ukuran 1/ 2 Folio, Ncr 4 Ply, 2 Warna, Nomorator, Per Buku 50 Set",785.0,Gudang Ketel Uap
1.1.7.01.03.01.014.00103,Buku Data File Kepegawaian,2022-05-17,BUAH,Uk. Folio,75.0,Gudang Ketel Uap
1.1.7.01.03.01.014.00218,Lembar Pengantar,2024-06-07,BUKU,"2 Ply, Uk. Standar",1144.0,Gudang Ketel Uap
1.1.7.01.03.01.014.00677,Kwitansi Dinas,2020-01-02,BUKU,Ncr 1 Blok 25 Set 1 Set:3 Lembar,80.0,Gudang Ketel Uap
1.1.7.01.03.01.016.00027,Kardus,2023-08-03,BUAH,Arsip; Bahan Carogated 200 Gr Uk. 37X27X17 Cm Oplah 1 S.D 1000,0.0,Gudang Ketel Uap
1.1.7.01.03.02.001.00012,Kertas A3,2025-04-22,RIM,80 Gr,116.0,Gudang Ketel Uap
1.1.7.01.03.02.001.00014,Kertas F4,2025-04-22,RIM,80 Gram,71.0,Gudang Ketel Uap
1.1.7.01.03.02.001.00016,Kertas A4,2025-04-22,RIM,80 Gram,364.0,Gudang Ketel Uap
1.1.7.01.03.02.002.00009,Post It,2025-08-19,SET,Tab 5 Warna 670-5An (500 Lbr),27.0,Gudang Ketel Uap
1.1.7.01.03.02.002.00021,Kertas Post It,2025-08-19,BUAH,Type 654,30.0,Gudang Ketel Uap
1.1.7.01.03.02.002.00041,Kertas Faximile,2022-06-15,ROLL,Ukuran : 210 Mmx50 M,30.0,Gudang Ketel Uap
1.1.7.01.03.02.002.00091,Kertas Foto,2025-08-19,RIM,Kertas Foto Glossy,10.0,Gudang Ketel Uap
1.1.7.01.03.02.003.00008,Kertas Buffalo,2024-06-21,PACK,Gold Fish,1.0,Gudang Ketel Uap
1.1.7.01.03.02.003.00015,Cover Plastik,2024-06-21,PACK,"Ukuran Folio, Isi 100 Lembar/ Dus",2.0,Gudang Ketel Uap
1.1.7.01.03.02.004.00014,AMPLOP DINAS,2022-05-17,PACK,"BAHAN KERTAS SAMSON, ISI:100 LBR/ PAK, UK. : 11X24CM, OPLAH : 0001 S/ D 1000 PAK",86.0,Gudang Ketel Uap
1.1.7.01.03.02.004.00029,AMPLOP DINAS,2022-05-17,PACK,"BAHAN : KERTAS SAMSON, ISI 100 LBR/ PAK, UK. 35X24 CM",83.0,Gudang Ketel Uap
1.1.7.01.03.04.001.00005,Materai,2025-05-02,BUAH,10000,400.0,Gudang Ketel Uap
1.1.7.01.03.04.001.00005,Materai,2025-05-02,BUAH,10000,5000.0,Gudang Ketel Uap
1.1.7.01.03.06.001.00005,Kertas Continous Form,2020-01-02,BOX,Uk. 9 1/2 x 11-6 Ply,13.0,Gudang Ketel Uap
1.1.7.01.03.06.001.00015,Continous Form,2020-01-02,BOX,5 Ply 9 1/2 x 11,43.0,Gudang Ketel Uap
1.1.7.01.03.06.003.00003,Pita Printer,2020-01-02,BUAH,"Ribbon Cartridge, Panjang Pita 60 M/ 196,8 Feet Dot Matrix LQ 310",1.0,Gudang Ketel Uap
1.1.7.01.03.06.003.00020,Pita Printer,2020-01-02,BUAH,EPSON LQ 300+II,4.0,Gudang Ketel Uap
1.1.7.01.03.06.004.00079,Tinta Nomorator,2020-01-02,TUBE,Lokal Standar Sni,2.0,Gudang Ketel Uap
1.1.7.01.03.06.004.00202,Tinta Printer,2025-08-19,BUAH,Epson 003 Colour,355.0,Gudang Ketel Uap
1.1.7.01.03.06.004.00209,Tinta Printer,2024-06-21,BUAH,Tinta Epson 664 Original,200.0,Gudang Ketel Uap
1.1.7.01.03.06.004.00279,Tinta Printer,2024-06-21,BUAH,Tinta Printer L200 No. T6641 (Black),228.0,Gudang Ketel Uap
1.1.7.01.03.06.004.00280,Tinta Printer,2023-10-04,BUAH,Tinta Printer L200 No. T6642 (Cyan),70.0,Gudang Ketel Uap
1.1.7.01.03.06.004.00281,Tinta Printer,2023-10-04,BUAH,Tinta Printer L200 No. T6643 (Magenta),14.0,Gudang Ketel Uap
1.1.7.01.03.06.004.00282,Tinta Printer,2023-10-04,BUAH,Tinta Printer L200 No. T6644 (Yellow),94.0,Gudang Ketel Uap
1.1.7.01.03.06.004.00334,Tinta Stempel,2020-01-02,BOTOL,Uk: 50 Cc,3.0,Gudang Ketel Uap
1.1.7.01.03.06.004.00384,Tinta/Toner Printer,2025-08-19,BUAH,HP LASERJET 85A PRO 1102,19.0,Gudang Ketel Uap
1.1.7.01.03.06.004.00691,Refill Tinta Printer,2025-08-19,BUAH,Tinta isi ulang standar,181.0,Gudang Ketel Uap
1.1.7.01.03.06.004.00692,Tinta Printer,2025-08-19,BUAH,Epson 003 Black/Color,213.0,Gudang Ketel Uap
1.1.7.01.03.06.004.00752,Tinta Printer,2025-08-19,BUAH,LC 3617 BK,152.0,Gudang Ketel Uap
1.1.7.01.03.06.004.05047,Tinta Printer,2025-08-19,UNIT,Epson Black Ink Bottle 001,25.0,Gudang Ketel Uap
1.1.7.01.03.06.004.05053,Tinta Printer,2025-08-19,BOTOL,Epson T001 Color,17.0,Gudang Ketel Uap
1.1.7.01.03.06.006.00002,Flashdisk,2023-10-04,BUAH,16 GB,4.0,Gudang Ketel Uap
1.1.7.01.03.06.011.00024,DVD R Printable,2020-01-02,PACK,1 pak : 50 pcs,13.0,Gudang Ketel Uap
1.1.7.01.03.07.001.00010,KEMOCENG,2024-07-16,BUAH,BULU AYAM,0.0,Gudang Ketel Uap
1.1.7.01.03.07.001.00011,KEMOCENG,2024-11-28,BUAH,BULU AYAM SEDANG,0.0,Gudang Ketel Uap
1.1.7.01.03.07.001.00030,SAPU IJUK,2024-11-28,BUAH,BERGAGANG,0.0,Gudang Ketel Uap
1.1.7.01.03.07.001.00037,SAPU LIDI,2024-11-28,BUAH,BERGAGANG,0.0,Gudang Ketel Uap
1.1.7.01.03.07.001.00050,SIKAT KAMAR MANDI,2024-07-16,BUAH,(TANGKAI PANJANG); BAHAN NYLON (KAYU ATAU PLASTIK) DENGAN TANGKAI ALUMINIUM,0.0,Gudang Ketel Uap
1.1.7.01.03.07.001.00056,Sikat Kawat,2020-01-02,BUAH,Besi,0.0,Gudang Ketel Uap
1.1.7.01.03.07.001.00064,SIKAT LANTAI,2024-11-28,BUAH,BERGAGANG,0.0,Gudang Ketel Uap
1.1.7.01.03.07.001.00072,Pengki,2024-07-16,BUAH,Bahan Plastik Bergagang,0.0,Gudang Ketel Uap
1.1.7.01.03.07.001.00082,Pembersih Sarang Laba-laba,2024-07-16,BUAH,Plastik,0.0,Gudang Ketel Uap
1.1.7.01.03.07.001.00095,Ijuk,2023-04-11,KG,,30.0,Gudang Ketel Uap
1.1.7.01.03.07.002.00017,KANEBO,2024-07-16,BUAH,LOKAL SNI,0.0,Gudang Ketel Uap
1.1.7.01.03.07.002.00043,Kain Pel,2024-07-16,BUAH,Mop Pel ; Lokal Standar SNI,0.0,Gudang Ketel Uap
1.1.7.01.03.07.002.00056,Lap Kain,2024-11-28,KG,Kain Majun,0.0,Gudang Ketel Uap
1.1.7.01.03.07.002.00067,Pel Dorong,2025-07-08,BUAH,Lengkap Tangkai,100.0,Gudang Ketel Uap
1.1.7.01.03.07.002.00070,PEMBERSIH KACA,2024-11-28,BUAH,"WIPER; BAHAN KARET, UKURAN STANDAR TANGKAI PLASTIK",0.0,Gudang Ketel Uap
1.1.7.01.03.07.002.00073,Pembersih Kaca,2024-07-16,BUAH,Wiper Kaca; Lokal Standar Sni,0.0,Gudang Ketel Uap
1.1.7.01.03.07.002.00076,Pembersih Lantai,2024-07-16,BUAH,Serokan Air,0.0,Gudang Ketel Uap
1.1.7.01.03.07.002.00085,Serokan Sampah,2024-11-28,BUAH,Bahan Plastik,0.0,Gudang Ketel Uap
1.1.7.01.03.07.002.00093,ALAT PEL,2024-07-16,BUAH,"BERBAHAN GAGANG STAINLESS/ ALUMUNIUM, TINGGI GAGANG MIN. 150 CM, MENGGUNAKAN PENJEPIT, BAGIAN SOCK DAPAT DILEPAS DARI GAGANG, KAIN PEL TERBUAT DARI KATUN, BERAT MINIMAL 400 GRAM",0.0,Gudang Ketel Uap
1.1.7.01.03.07.002.00113,Mop Pel/ Kain Pel,2024-07-16,BUAH,Kain,20.0,Gudang Ketel Uap
1.1.7.01.03.07.003.00005,Selang Las Double,2024-08-22,BUAH,Standart Sni,0.0,Gudang Ketel Uap
1.1.7.01.03.07.003.00031,Ember Plastik,2025-07-08,BUAH,Uk. 3 Gl,0.0,Gudang Ketel Uap
1.1.7.01.03.07.003.00034,Ember Plastik,2024-11-28,UNIT,Uk. 20 Liter,0.0,Gudang Ketel Uap
1.1.7.01.03.07.003.00035,Ember Plastik,2024-07-16,BUAH,Pakai Tutup; Isi 10 Liter,0.0,Gudang Ketel Uap
1.1.7.01.03.07.003.00038,EMBER PLASTIK,2024-07-17,BUAH,SEMEN,1225.0,Gudang Ketel Uap
1.1.7.01.03.07.003.00043,Jerigen,2025-07-08,BUAH,Uk. 20 Liter,40.0,Gudang Ketel Uap
1.1.7.01.03.07.003.00096,Selang Air,2024-05-16,METER,Bahan Plastik Berserat,0.0,Gudang Ketel Uap
1.1.7.01.03.07.003.50005,Klem Selang,2024-05-16,UNIT,Ukuran 16 mm,0.0,Gudang Ketel Uap
1.1.7.01.03.07.004.00007,Keset,2024-07-16,BUAH,Bahan Karet,0.0,Gudang Ketel Uap
1.1.7.01.03.07.004.00014,Bak Sampah,2024-11-28,BUAH,"Bahan : Plastik, Merk : Type : Rj",0.0,Gudang Ketel Uap
